id,name,review_count,category_alias,rating,latitude,longitude,delivery,pickup,restaurant_reservation,price,city,zip_code,country,state,distance,italian,breakfast_brunch,newamerican,pizza,tradamerican,sandwiches,chinese,bars,japanese,mexican,seafood,delis,coffee,salad,mediterranean,french,indpak,thai,asianfusion,korean,latin,desserts,bakeries,italian,breakfast_brunch,newamerican,pizza,tradamerican,sandwiches,chinese,bars,japanese,mexican,seafood,delis,coffee,salad,mediterranean,french,indpak,thai,asianfusion,korean,latin,desserts,bakeries
kacoHTzwYA7QZM3F2dw4kA,Spanish Diner at Mercado Little Spain,112,spanish,3.5,40.7522295,-74.0010816,0,0,0,2,New York,10001,US,NY,454.4355723280959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
PbezejIP9RHrjw-k459iZA,Porteno Restaurant,375,argentine,4.0,40.750499,-74.002525,0,0,0,3,New York,10001,US,NY,548.5713803400216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
3axYlGbF2M-rHjz0uhKFcg,Whitmans Hudson Yards,201,"burgers,desserts,newamerican",4.0,40.751715999999995,-74.001579,1,1,0,2,New York,10001,US,NY,451.78789914738167,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
r-EDS_eO70HUgDmOk5_8Qw,Juniper Bar,574,"cocktailbars,newamerican,breakfast_brunch",4.0,40.752344,-73.9914045,0,0,1,2,New York,10001,US,NY,406.7804971391,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
vu-w4B72RWm_Q56dYiimrw,The Blacksmith NYC Bar and Kitchen,33,"cocktailbars,newamerican",4.0,40.7449948,-73.99416409999999,1,1,0,2,New York,10001,US,NY,777.2558942195993,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
X8yEmEDD9ZTkHoIRFqzcRw,Osamil,425,"korean,gastropubs,tapasmallplates",4.0,40.746970000000005,-73.9864,0,0,0,2,New York,10001,US,NY,982.9223699566733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
kjItczuC-FQa-nECT9VF8A,Udon Lab,78,"noodles,izakaya",4.0,40.748203628717704,-73.9874565,1,1,0,2,New York,10001,US,NY,837.135758205574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
v0DwpyNrKeS2ZhfMjVu8lg,CajunSea & Oyster Bar,1230,"cajun,seafood,breakfast_brunch",4.0,40.7483352,-73.98677009999999,0,0,1,2,New York,10001,US,NY,876.5783960552372,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
JeCtYANe0eqW8xe1SN3lWg,Turntable Chicken Jazz,2030,"chicken_wings,bars,korean",4.0,40.74828,-73.98649,0,0,0,2,New York,10001,US,NY,918.1429236627313,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
z2VXX7wGl8XZ6_oo9W3koA,Patiala Indian Grill,321,indpak,4.0,40.7533149,-73.9960898,1,1,0,2,New York,10001,US,NY,167.75487859206137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
